date,slot_index,source_endpoint_label,natural_interval,template_interval_label,price_yuan_per_kwh,actual_load_kw,actual_pv_kw,actual_net_kwh,load_forecast_kw,pv_forecast_kw,baseline_net_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,spill_kwh
2025-02-01,10,01:50:00,1:40-1:50,1:50-2:00,0.4333000000,2688.1558000000,0.0000000000,448.0259666667,3009.3222000000,0.0000000000,501.5537000000,512.0380733333,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,64.0121066667
2025-02-01,11,02:00:00,1:50-2:00,2:00-2:10,0.4311000000,2384.4200000000,0.0000000000,397.4033333333,3026.1220000000,0.0000000000,504.3536666667,532.0320000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,134.6286666667
2025-02-01,12,02:10:00,2:00-2:10,2:10-2:20,0.4293000000,2604.5438000000,0.0000000000,434.0906333333,2978.5390600000,0.0000000000,496.4231766667,507.8182192593,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,73.7275859259
2025-02-01,13,02:20:00,2:10-2:20,2:20-2:30,0.4324000000,2943.3655000000,0.0000000000,490.5609166667,2994.0851200000,0.0000000000,499.0141866667,516.1992833333,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,25.6383666667
2025-02-01,14,02:30:00,2:20-2:30,2:30-2:40,0.4367000000,3019.3200000000,0.0000000000,503.2200000000,3051.4930000000,0.0000000000,508.5821666667,521.6342037037,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,18.4142037037
2025-02-01,15,02:40:00,2:30-2:40,2:40-2:50,0.4348000000,2844.4369000000,0.0000000000,474.0728166667,3026.0464900000,0.0000000000,504.3410816667,509.6777388095,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,35.6049221429
2025-02-01,16,02:50:00,2:40-2:50,2:50-3:00,0.4335000000,2768.3064000000,0.0000000000,461.3844000000,3042.3335900000,0.0000000000,507.0555983333,522.9485316667,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,61.5641316667
2025-02-01,17,03:00:00,2:50-3:00,3:00-3:10,0.4357000000,2861.6500000000,0.0000000000,476.9416666667,3113.3210000000,0.0000000000,518.8868333333,544.7173333333,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,67.7756666667
2025-02-01,18,03:10:00,3:00-3:10,3:10-3:20,0.4374000000,2900.3973000000,0.0000000000,483.3995500000,3119.8313000000,0.0000000000,519.9718833333,535.4467722222,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,52.0472222222
2025-02-01,19,03:20:00,3:10-3:20,3:20-3:30,0.4371000000,2919.6115000000,0.0000000000,486.6019166667,3113.2352200000,0.0000000000,518.8725366667,530.0766200000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,43.4747033333
2025-02-01,20,03:30:00,3:20-3:30,3:30-3:40,0.4356000000,2993.0900000000,0.0000000000,498.8483333333,3097.6920000000,0.0000000000,516.2820000000,525.8186666667,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,26.9703333333
2025-02-01,21,03:40:00,3:30-3:40,3:40-3:50,0.4353000000,3109.8584000000,0.0000000000,518.3097333333,3040.6185500000,0.0000000000,506.7697583333,517.3659101852,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.9438231481,0.0000000000
2025-02-01,22,03:50:00,3:40-3:50,3:50-4:00,0.4360000000,3054.8008000000,0.0000000000,509.1334666667,3116.3476500000,0.0000000000,519.3912750000,535.6541509259,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,26.5206842593
2025-02-01,23,04:00:00,3:50-4:00,4:00-4:10,0.4378000000,2901.7000000000,0.0000000000,483.6166666667,3250.8540000000,0.0000000000,541.8090000000,563.9840000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,80.3673333333
2025-02-01,24,04:10:00,4:00-4:10,4:10-4:20,0.4401000000,2947.1208000000,0.0000000000,491.1868000000,3186.2205900000,0.0000000000,531.0367650000,546.9455483333,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,55.7587483333
2025-02-01,25,04:20:00,4:10-4:20,4:20-4:30,0.4389000000,3027.8717000000,0.0000000000,504.6452833333,3124.4084900000,0.0000000000,520.7347483333,538.2408075926,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,33.5955242593
2025-02-01,26,04:30:00,4:20-4:30,4:30-4:40,0.4364000000,3033.4700000000,0.0000000000,505.5783333333,3182.2700000000,0.0000000000,530.3783333333,560.8483333333,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,55.2700000000
2025-02-01,27,04:40:00,4:30-4:40,4:40-4:50,0.4393000000,3019.3858000000,0.0000000000,503.2309666667,3274.5616600000,0.0000000000,545.7602766667,566.6745616667,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,63.4435950000
2025-02-01,28,04:50:00,4:40-4:50,4:50-5:00,0.4422000000,3017.0819000000,0.0014000000,502.8467500000,3323.7163500000,0.0013857143,553.9524940476,572.0652641534,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,69.2185141534
2025-02-01,29,05:00:00,4:50-5:00,5:00-5:10,0.4395000000,2997.8500000000,0.0000000000,499.6416666667,3313.4470000000,0.0000000000,552.2411666667,560.7521666667,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,61.1105000000
2025-02-01,30,05:10:00,5:00-5:10,5:10-5:20,0.4333000000,2932.7015000000,0.0000000000,488.7835833333,3287.4516300000,0.0000000000,547.9086050000,563.7352930952,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,74.9517097619
2025-02-01,31,05:20:00,5:10-5:20,5:20-5:30,0.4439000000,2991.1125000000,0.0199000000,498.5154333333,3298.6706700000,0.0195857143,549.7751807143,581.3047140476,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,82.7892807143
2025-02-01,32,05:30:00,5:20-5:30,5:30-5:40,0.4301000000,3175.3400000000,0.0000000000,529.2233333333,3351.7940000000,0.0000000000,558.6323333333,592.0165000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,0.0000000000,62.7931666667
2025-02-01,33,05:40:00,5:30-5:40,5:40-5:50,0.3713000000,3284.4619000000,0.0000000000,547.4103166667,3393.9922600000,0.0000000000,565.6653766667,1421.5937414815,833.3333333333,0.0000000000,10050.0000000000,10800.0000000000,0.0000000000,40.8500914815
2025-02-01,34,05:50:00,5:40-5:50,5:50-6:00,0.5708000000,3187.3644000000,0.2774000000,531.1811666667,3348.7547500000,0.2725857143,558.0803607143,577.4161973810,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,46.2350307143
2025-02-01,35,06:00:00,5:50-6:00,6:00-6:10,0.9099000000,3065.9000000000,0.0000000000,510.9833333333,3285.7470000000,0.0000000000,547.6245000000,0.0000000000,0.0000000000,561.9985000000,10800.0000000000,10175.5572222222,0.0000000000,51.0151666667
2025-02-01,36,06:10:00,6:00-6:10,6:10-6:20,0.9368000000,3211.1231000000,0.0000000000,535.1871833333,3343.7505500000,0.0000000000,557.2917583333,0.0000000000,0.0000000000,578.7972726190,10175.5572222222,9532.4491415344,0.0000000000,43.6100892857
2025-02-01,37,06:20:00,6:10-6:20,6:20-6:30,0.8758000000,3203.9961000000,3.8641000000,533.3553333333,3343.0266500000,3.7967142857,556.5383226190,0.0000000000,0.0000000000,577.5186083333,9532.4491415344,8890.7617989418,0.0000000000,44.1632750000
2025-02-01,38,06:30:00,6:20-6:30,6:30-6:40,0.8759000000,3027.1200000000,0.0000000000,504.5200000000,3277.5070000000,0.0000000000,546.2511666667,0.0000000000,0.0000000000,570.8445000000,8890.7617989418,8256.4901322751,0.0000000000,66.3245000000
2025-02-01,39,06:40:00,6:30-6:40,6:40-6:50,0.8601000000,3117.3221000000,0.0000000000,519.5536833333,3352.8550200000,0.0000000000,558.8091700000,0.0000000000,0.0000000000,575.4306633333,8256.4901322751,7617.1227285714,0.0000000000,55.8769800000
2025-02-01,40,06:50:00,6:40-6:50,6:50-7:00,0.8442000000,3398.4900000000,89.6095000000,551.4800833333,3595.4731700000,63.5144714286,588.6597830952,0.0000000000,0.0000000000,612.4321535714,7617.1227285714,6936.6425579365,0.0000000000,60.9520702381
2025-02-01,41,07:00:00,6:50-7:00,7:0-7:10,0.8334000000,3652.7500000000,340.5000000000,552.0416666667,3840.2520000000,276.2946428571,593.9928928571,0.0000000000,0.0000000000,614.9068214286,6936.6425579365,6253.4127563492,0.0000000000,62.8651547619
2025-02-01,42,07:10:00,7:00-7:10,7:10-7:20,0.8092000000,3703.2843000000,615.9360000000,514.5580500000,3874.7852800000,526.4081428571,558.0628561905,0.0000000000,0.0000000000,581.4583800000,6253.4127563492,5607.3478896825,0.0000000000,66.9003300000
2025-02-01,43,07:20:00,7:10-7:20,7:20-7:30,0.7972000000,3572.3788000000,884.9275000000,447.9085500000,3865.0137800000,793.8069428571,511.8678061905,0.0000000000,0.0000000000,528.2147617460,5607.3478896825,5020.4425988536,0.0000000000,80.3062117460
2025-02-01,44,07:30:00,7:20-7:30,7:30-7:40,0.7644000000,3477.2200000000,1140.6750000000,389.4241666667,3890.0350000000,1073.3732142857,469.4436309524,0.0000000000,0.0000000000,496.1579100529,5020.4425988536,4469.1560321282,0.0000000000,106.7337433862
2025-02-01,45,07:40:00,7:30-7:40,7:40-7:50,0.6899000000,3654.0022000000,1388.0797000000,377.6537500000,3870.6145700000,1358.2232428571,418.7318878571,0.0000000000,0.0000000000,427.0661188095,4469.1560321282,3994.6381223398,0.0000000000,49.4123688095
2025-02-01,46,07:50:00,7:40-7:50,7:50-8:00,0.8600000000,3841.4201000000,1674.4520000000,361.1613500000,3825.7680500000,1651.3327428571,362.4058845238,0.0000000000,0.0000000000,365.7554781746,3994.6381223398,3588.2431465902,0.0000000000,4.5941281746
2025-02-01,47,08:00:00,7:50-8:00,8:00-8:10,1.1617000000,3803.6500000000,2004.1125000000,299.9229166667,3790.4510000000,1954.1464285714,306.0507619048,0.0000000000,0.0000000000,327.0455238095,3588.2431465902,3224.8592312463,0.0000000000,27.1226071429
2025-02-01,48,08:10:00,8:00-8:10,8:10-8:20,1.1683000000,3545.4639000000,2332.1065000000,202.2262333333,3787.7644800000,2260.7840285714,254.4967419048,0.0000000000,0.0000000000,281.9149776190,3224.8592312463,2911.6203672252,0.0000000000,79.6887442857
2025-02-01,49,08:20:00,8:10-8:20,8:20-8:30,1.0956000000,3411.3490000000,2632.5934000000,129.7926000000,3832.8396700000,2553.7723000000,213.1778950000,0.0000000000,0.0000000000,240.3779878571,2911.6203672252,2644.5337140506,0.0000000000,110.5853878571
2025-02-01,50,08:30:00,8:20-8:30,8:30-8:40,1.0849000000,3445.3700000000,2927.6625000000,86.2845833333,3868.6930000000,2847.7714285714,170.1535952381,0.0000000000,0.0000000000,188.5743690476,2644.5337140506,2435.0066373310,0.0000000000,102.2897857143
2025-02-01,51,08:40:00,8:30-8:40,8:40-8:50,1.0610000000,3467.1139000000,3251.2990000000,35.9691500000,3845.5110500000,3171.9197000000,112.2652250000,0.0000000000,0.0000000000,148.7084869048,2435.0066373310,2269.7749852146,0.0000000000,112.7393369048
2025-02-01,52,08:50:00,8:40-8:50,8:50-9:00,1.0430000000,3894.4802000000,3519.7566000000,62.4539333333,4008.0478100000,3475.6751142857,88.7287826190,0.0000000000,0.0000000000,116.8197683333,2269.7749852146,2139.9752426220,0.0000000000,54.3658350000
2025-02-01,53,09:00:00,8:50-9:00,9:00-9:10,1.0360000000,4422.7600000000,3731.7000000000,115.1766666667,4332.6700000000,3741.7875000000,98.4804166667,0.0000000000,0.0000000000,132.2277976190,2139.9752426220,1993.0554674897,0.0000000000,17.0511309524
2025-02-01,54,09:10:00,9:00-9:10,9:10-9:20,1.0147000000,4267.5205000000,3992.5758000000,45.8241166667,4508.8689900000,4007.3193857143,83.5916007143,0.0000000000,0.0000000000,116.3217009524,1993.0554674897,1863.8091330982,0.0000000000,70.4975842857
2025-02-01,55,09:20:00,9:10-9:20,9:20-9:30,0.9922000000,4190.1702000000,4378.3332000000,-31.3605000000,4458.2818800000,4308.6946428571,24.9312061905,0.0000000000,0.0000000000,49.1069276190,1863.8091330982,1809.2458801881,0.0000000000,80.4674276190
2025-02-01,56,09:30:00,9:20-9:30,9:30-9:40,0.9700000000,4418.3200000000,4788.5250000000,-61.7008333333,4356.4400000000,4601.8446428571,-40.9007738095,0.0000000000,19.7010515873,0.0000000000,1809.2458801881,1826.9768266167,0.0000000000,41.9997817460
2025-02-01,57,09:40:00,9:30-9:40,9:40-9:50,0.9422000000,4399.2754000000,5029.9241000000,-105.1081166667,4445.6654900000,4806.5281000000,-60.1437683333,0.0000000000,2.7535879101,0.0000000000,1826.9768266167,1829.4550557357,0.0000000000,102.3545287566
2025-02-01,58,09:50:00,9:40-9:50,9:50-10:00,0.9569000000,4182.7342000000,5203.9177000000,-170.1972500000,4479.4404000000,5012.6834428571,-88.8738404762,0.0000000000,50.4381880952,0.0000000000,1829.4550557357,1874.8494250215,0.0000000000,119.7590619048
2025-02-01,59,10:00:00,9:50-10:00,10:00-10:10,0.9977000000,4071.5300000000,5364.1125000000,-215.4304166667,4368.1390000000,5260.2910714286,-148.6920119048,0.0000000000,103.6743571429,0.0000000000,1874.8494250215,1968.1563464500,0.0000000000,111.7560595238
2025-02-01,60,10:10:00,10:00-10:10,10:10-10:20,0.9919000000,4268.5932000000,5471.0990000000,-200.4176333333,4286.6112200000,5504.9855142857,-203.0623823810,0.0000000000,154.7167236508,0.0000000000,1968.1563464500,2107.4013977357,0.0000000000,45.7009096825
2025-02-01,61,10:20:00,10:10-10:20,10:20-10:30,0.9588000000,4240.2423000000,5601.7634000000,-226.9201833333,4334.9908500000,5736.2487285714,-233.5429797619,0.0000000000,182.8143180952,0.0000000000,2107.4013977357,2271.9342840215,0.0000000000,44.1058652381
2025-02-01,62,10:30:00,10:20-10:30,10:30-10:40,0.9549000000,4001.9600000000,5755.3125000000,-292.2254166667,4414.9160000000,5901.0267857143,-247.6851309524,0.0000000000,189.6374523810,0.0000000000,2271.9342840215,2442.6079911643,0.0000000000,102.5879642857
2025-02-01,63,10:40:00,10:30-10:40,10:40-10:50,0.9839000000,4072.3226000000,5878.8490000000,-301.0877333333,4337.3234400000,5942.2044428571,-267.4801671429,0.0000000000,235.9940890476,0.0000000000,2442.6079911643,2655.0026713072,0.0000000000,65.0936442857
2025-02-01,64,10:50:00,10:40-10:50,10:50-11:00,0.7990000000,4068.7830000000,6128.0874000000,-343.2174000000,4252.0135100000,5989.7165285714,-289.6171697619,0.0000000000,279.2522050000,0.0000000000,2655.0026713072,2906.3296558072,0.0000000000,63.9651950000
2025-02-01,65,11:00:00,10:50-11:00,11:00-11:10,0.5025000000,3917.5500000000,6361.6500000000,-407.3500000000,4276.3190000000,6111.6375000000,-305.8864166667,0.0000000000,288.6865357143,0.0000000000,2906.3296558072,3166.1475379500,0.0000000000,118.6634642857
2025-02-01,66,11:10:00,11:00-11:10,11:10-11:20,0.4662000000,3946.1661000000,6277.0669000000,-388.4834666667,4359.9989500000,6244.8467428571,-314.1412988095,0.0000000000,287.6649630952,0.0000000000,3166.1475379500,3425.0460047357,0.0000000000,100.8185035714
2025-02-01,67,11:20:00,11:10-11:20,11:20-11:30,0.5007000000,3936.6103000000,6308.0507000000,-395.2400666667,4276.5588400000,6248.6285714286,-328.6782885714,0.0000000000,293.0835576190,0.0000000000,3425.0460047357,3688.8212065929,0.0000000000,102.1565090476
2025-02-01,68,11:30:00,11:20-11:30,11:30-11:40,0.4827000000,3927.2100000000,6594.3750000000,-444.5275000000,4155.7650000000,6200.8071428571,-340.8403571429,0.0000000000,312.7325238095,0.0000000000,3688.8212065929,3970.2804780215,0.0000000000,131.7949761905
2025-02-01,69,11:40:00,11:30-11:40,11:40-11:50,0.4785000000,4153.2513000000,6817.8939000000,-444.1071000000,4330.4786800000,6314.3394571429,-330.6434628571,0.0000000000,291.5566295238,0.0000000000,3970.2804780215,4232.6814445929,0.0000000000,152.5504704762
2025-02-01,70,11:50:00,11:40-11:50,11:50-12:00,0.4662000000,4080.8969000000,6770.5009000000,-448.2673333333,4372.9505100000,6403.9309428571,-338.4967388095,398.0957229391,686.1221522248,0.0000000000,4232.6814445929,4850.1913815952,0.0000000000,160.2409040476
2025-02-01,71,12:00:00,11:50-12:00,12:00-12:10,0.4432000000,3840.2000000000,6603.9375000000,-460.6229166667,4185.7240000000,6368.0410714286,-363.7195119048,521.7399457672,833.3333333333,0.0000000000,4850.1913815952,5600.1913815952,0.0000000000,149.0295291005
2025-02-01,72,12:10:00,12:00-12:10,12:10-12:20,0.4411000000,4061.0483000000,6632.8992000000,-428.6418166667,4106.4659400000,6288.9025000000,-363.7394266667,544.5259466667,833.3333333333,0.0000000000,5600.1913815952,6350.1913815952,0.0000000000,139.8344300000
2025-02-01,73,12:20:00,12:10-12:20,12:20-12:30,0.4551000000,3978.5628000000,6536.8864000000,-426.3872666667,4115.5142200000,6237.5659428571,-353.6752871429,556.2890614286,833.3333333333,0.0000000000,6350.1913815952,7100.1913815952,0.0000000000,149.3429947619
2025-02-01,74,12:30:00,12:20-12:30,12:30-12:40,0.4463000000,3564.1300000000,6314.4750000000,-458.3908333333,4132.2370000000,6221.0732142857,-348.1393690476,544.2642817460,833.3333333333,0.0000000000,7100.1913815952,7850.1913815952,0.0000000000,169.3217817460
2025-02-01,75,12:40:00,12:30-12:40,12:40-12:50,0.4113000000,3606.6850000000,6312.5866000000,-450.9836000000,4122.9456000000,6190.6497714286,-344.6173619048,527.6234788360,833.3333333333,0.0000000000,7850.1913815952,8600.1913815952,0.0000000000,145.2737455026
2025-02-01,76,12:50:00,12:40-12:50,12:50-13:00,0.5682000000,3800.0122000000,6353.9385000000,-425.6543833333,4104.8221600000,6114.3475571429,-334.9208995238,0.0000000000,275.0145426455,0.0000000000,8600.1913815952,8847.7044699762,0.0000000000,150.6398406878
2025-02-01,77,13:00:00,12:50-13:00,13:00-13:10,0.8279000000,3832.0900000000,6313.3500000000,-413.5433333333,4098.6990000000,6042.6589285714,-323.9933214286,0.0000000000,242.4521904762,0.0000000000,8847.7044699762,9065.9114414048,0.0000000000,171.0911428571
2025-02-01,78,13:10:00,13:00-13:10,13:10-13:20,0.8636000000,3716.2454000000,6246.1375000000,-421.6486833333,4099.3894300000,6045.1938571429,-324.3007378571,0.0000000000,266.8552849471,0.0000000000,9065.9114414048,9306.0811978571,0.0000000000,154.7933983862
2025-02-01,79,13:20:00,13:10-13:20,13:20-13:30,0.8416000000,3639.0264000000,6175.3730000000,-422.7244333333,4038.6251200000,5967.2244285714,-321.4332180952,0.0000000000,251.0106061905,0.0000000000,9306.0811978571,9531.9907434286,0.0000000000,171.7138271429
2025-02-01,80,13:30:00,13:20-13:30,13:30-13:40,0.8618000000,3642.0800000000,6103.6875000000,-410.2679166667,3974.0460000000,5813.8017857143,-306.6259642857,0.0000000000,277.1492976190,0.0000000000,9531.9907434286,9781.4251112857,0.0000000000,133.1186190476
2025-02-01,81,13:40:00,13:30-13:40,13:40-13:50,0.8623000000,3637.9100000000,5992.7643000000,-392.4757166667,4030.5549900000,5731.5982285714,-283.5072064286,0.0000000000,217.2701130423,0.0000000000,9781.4251112857,9976.9682130238,0.0000000000,175.2056036243
2025-02-01,82,13:50:00,13:40-13:50,13:50-14:00,0.9026000000,3749.5633000000,5691.8061000000,-323.7071333333,4044.3575200000,5575.7037857143,-255.2243776190,0.0000000000,187.9130085714,0.0000000000,9976.9682130238,10146.0899207381,0.0000000000,135.7941247619
2025-02-01,83,14:00:00,13:50-14:00,14:00-14:10,0.9754000000,3849.8700000000,5251.1250000000,-233.5425000000,3973.1760000000,5326.0607142857,-225.4807857143,0.0000000000,189.8229880952,0.0000000000,10146.0899207381,10316.9306100238,0.0000000000,43.7195119048
2025-02-01,84,14:10:00,14:00-14:10,14:10-14:20,1.0002000000,3676.3403000000,4893.7405000000,-202.9000333333,3920.6885500000,5112.4139142857,-198.6208940476,0.0000000000,166.0112797619,0.0000000000,10316.9306100238,10466.3407618095,0.0000000000,36.8887535714
2025-02-01,85,14:20:00,14:10-14:20,14:20-14:30,0.9978000000,3619.6065000000,4617.2194000000,-166.2688166667,3802.5635200000,4868.0640714286,-177.5834252381,0.0000000000,142.8807106878,0.0000000000,10466.3407618095,10594.9334014286,0.0000000000,23.3881059788
2025-02-01,86,14:30:00,14:20-14:30,14:30-14:40,1.0271000000,3664.8700000000,4364.4000000000,-116.5883333333,3693.6230000000,4585.6232142857,-148.6667023810,0.0000000000,131.4682962963,0.0000000000,10594.9334014286,10713.2548680952,14.8799629630,0.0000000000
2025-02-01,87,14:40:00,14:30-14:40,14:40-14:50,1.0906000000,3429.7385000000,4104.4044000000,-112.4443166667,3765.8135000000,4335.4256857143,-94.9353642857,0.0000000000,76.6391417989,0.0000000000,10713.2548680952,10782.2300957143,0.0000000000,35.8051748677
2025-02-01,88,14:50:00,14:40-14:50,14:50-15:00,0.9376000000,3327.5652000000,3890.1686000000,-93.7672333333,3762.5052000000,4060.6033428571,-49.6830238095,0.0000000000,19.7443380952,0.0000000000,10782.2300957143,10800.0000000000,0.0000000000,74.0228952381
2025-02-01,89,15:00:00,14:50-15:00,15:00-15:10,0.6694000000,3473.5400000000,3688.3500000000,-35.8016666667,3684.6710000000,3771.2785714286,-14.4345952381,0.9225013228,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,36.7241679894
2025-02-01,90,15:10:00,15:00-15:10,15:10-15:20,0.6600000000,3562.9320000000,3392.3571000000,28.4291500000,3777.1343700000,3539.3417571429,39.6321021429,45.4474346825,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,17.0182846825
2025-02-01,91,15:20:00,15:10-15:20,15:20-15:30,0.7217000000,3620.2202000000,3032.6158000000,97.9340666667,3805.7201900000,3287.7774714286,86.3237864286,95.5940150000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,2.3400516667,0.0000000000
2025-02-01,92,15:30:00,15:20-15:30,15:30-15:40,0.7308000000,3651.9300000000,2703.8250000000,158.0175000000,3725.0780000000,2993.3732142857,121.9507976190,128.0850502646,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,29.9324497354,0.0000000000
2025-02-01,93,15:40:00,15:30-15:40,15:40-15:50,0.7534000000,3580.7319000000,2481.7698000000,183.1603500000,3732.7526600000,2704.8048000000,171.3246433333,176.8927787831,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,6.2675712169,0.0000000000
2025-02-01,94,15:50:00,15:40-15:50,15:50-16:00,0.7823000000,3420.6657000000,2255.8374000000,194.1380500000,3749.7224700000,2392.1237285714,226.2664569048,225.9331778042,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,31.7951278042
2025-02-01,95,16:00:00,15:50-16:00,16:00-16:10,0.8055000000,3292.5000000000,1973.5875000000,219.8187500000,3676.3130000000,2057.8714285714,269.7402619048,252.6474708995,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,32.8287208995
2025-02-01,96,16:10:00,16:00-16:10,16:10-16:20,0.8271000000,3324.4944000000,1687.0443000000,272.9083500000,3522.4769200000,1744.3566000000,296.3533866667,283.8112300529,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,10.9028800529
2025-02-01,97,16:20:00,16:10-16:20,16:20-16:30,0.8519000000,3354.2164000000,1442.6491000000,318.5945500000,3515.9127700000,1440.9410714286,345.8286164286,347.4853648413,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,28.8908148413
2025-02-01,98,16:30:00,16:20-16:30,16:30-16:40,0.8791000000,3378.6400000000,1214.1750000000,360.7441666667,3640.9360000000,1137.1875000000,417.2914166667,431.0888809524,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,70.3447142857
2025-02-01,99,16:40:00,16:30-16:40,16:40-16:50,0.9024000000,3481.7178000000,933.1142000000,424.7672666667,3606.6729100000,838.0341142857,461.4397992857,460.0684445238,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,35.3011778571
2025-02-01,100,16:50:00,16:40-16:50,16:50-17:00,0.9163000000,3196.9081000000,640.2688000000,426.1065500000,3229.3081300000,553.5934428571,445.9524478571,441.9589579101,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,0.0000000000,15.8524079101
